"text"
"<s>Human:所属专业：变电检修作业/作业内容：变电站内220千伏及以上线路(电缆)接火、参数测试等工作。</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：变电站220千伏及以上线路、主变等保护及自动装置、直流电源更换作业。</s><s>Assistant: 风险因素：触电、机械伤害/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：35千伏变电站全站集中检修、110千伏母线检修。</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：母线带电情况下，10～35千伏开关柜开关仓内一次设备检修。</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：变电站内35～110千伏输电线路(电缆)停电检修(常规清扫等不涉及设备变更的工作除外)，改造项目施工作业。</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：同一作业面涉及5个专业、或3个单位、或5个班组、或作业人员超过50人的大型复杂作业。</s><s>Assistant: 风险因素：触电、多班组交叉作业/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：35～110千伏变电站主要设备(如变压器等)现场解体、更换、返厂检修和改(扩)建项目施工作业。</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：变电站开关柜内二次设备改(扩)建项目施工作业。</s><s>Assistant: 风险因素：触电、机械伤害/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：110千伏及以上GIS（HGIS）套管、软母线安装作业。</s><s>Assistant: 风险因素：机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：110千伏及以上电网“新技术、新工艺、新设备、新材料”应用的首次作业。</s><s>Assistant: 风险因素：触电、高处坠落、机械伤害、物体打击/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：在运变电站内使用吊车、斗臂车、泵车等大型机械施工的作业。</s><s>Assistant: 风险因素：触电、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：110千伏及以上变电站内龙门架上的工作。</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：500kV及以上主变有载吊检</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：220kV场地两处及以上大型机具作业,2台及以上起重机抬吊同一重物</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：220kV及110kV主变吊套管、吊罩、吊散热器</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：110kV高层布置双母线同停多间隔综合检修</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：起重重量达到起重机械额定负荷的95％，或起重机械临近带电体作业</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：35kV和10kV高压开关柜扩建或并柜改造</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：三级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：500kV半串停电开展检修工作</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：四级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：110kV及以上场地单处大型机具作业</s><s>Assistant: 风险因素：触电、机械伤害、高处坠落/风险等级：四级</s>"
"<s>Human:所属专业：变电检修作业/作业内容：35kV变电站站用变更换</s><s>Assistant: 风险因素：触电、机械伤害/风险等级：四级</s>"
